wind speed;P;P_with_TI
0.0;0.0;0.0
0.1;0.0;0.0
0.2;0.0;0.0
0.30000000000000004;0.0;0.0
0.4;0.0;0.0
0.5;0.0;0.0
0.6000000000000001;0.0;0.0
0.7000000000000001;0.0;0.0
0.8;0.0;0.0
0.9;0.0;0.0
1.0;0.0;0.0
1.1;0.0;0.0
1.2000000000000002;0.0;0.0
1.3;0.0;0.0
1.4000000000000001;0.0;0.0
1.5;0.0;0.0
1.6;0.0;0.0
1.7000000000000002;0.0;0.0
1.8;0.0;0.0
1.9000000000000001;0.0;0.0
2.0;0.0;0.0
2.1;0.0;0.0
2.2;0.0;0.0
2.3000000000000003;0.0;0.0
2.4000000000000004;0.0;0.0
2.5;0.0;0.0
2.6;0.0;0.0
2.7;0.0;0.0
2.8000000000000003;0.0;0.0
2.9000000000000004;0.0;46.45575157820173
3.0;0.0;51.436741701650696
3.1;0.0;56.763730440899096
3.2;0.0;62.44669211121882
3.3000000000000003;0.0;68.49521769991983
3.4000000000000004;0.0;74.91889819431215
3.5;0.0;81.72732458170572
3.6;0.0;88.93008784941065
3.7;0.0;96.53677898473686
3.8000000000000003;0.0;104.55698897499435
3.9000000000000004;0.0;113.00030880749316
4.0;0.0;121.87632946954322
4.1000000000000005;0.0;131.19607942489023
4.2;0.0;140.97633704302186
4.3;0.0;151.2353181698616
4.4;0.0;161.991238651333
4.5;0.0;173.26231433335926
4.6000000000000005;0.0;185.06676106186407
4.7;0.0;197.42279468277053
4.800000000000001;189.60831635983743;210.34863104200238
4.9;201.70743644584152;223.86248598548275
5.0;214.31061509855746;237.98257535913524
5.1000000000000005;227.42813922751003;252.71971653420653
5.2;241.07029574222375;268.0551329832358
5.300000000000001;255.24737155222363;283.9626497040859
5.4;269.9696535670341;300.4160916946192
5.5;285.24742869618;317.38928395269807
5.6000000000000005;301.0909838491862;334.8560514761857
5.7;317.51060593557725;352.7902192629443
5.800000000000001;334.51658186487805;371.16561231083654
5.9;352.1191985466132;389.95605561772487
6.0;370.3287428903073;409.1353741814719
6.1000000000000005;389.15550180548547;428.6686077852237
6.2;408.6097622016721;448.485655353258
6.300000000000001;428.7018109883921;468.5076305951362
6.4;449.4419350751701;488.65564722041955
6.5;470.84042137153074;508.85081893866914
6.6000000000000005;492.9075567869992;529.0142594594469
6.7;515.6536282310996;549.0670824923134
6.800000000000001;539.0889226133571;568.9304017468302
6.9;563.2237268432962;588.5253309325583
7.0;588.0683278304416;607.7729837590595
7.1000000000000005;613.6330124843184;626.6037175171797
7.2;639.9280677144511;644.9848638229056
7.300000000000001;666.9637804303644;662.8929978735088
7.4;694.7504375415829;680.3046948662607
7.5;723.2983259576315;697.1965299984329
7.6000000000000005;752.6177325880351;713.5450784672972
7.7;782.7189443423179;729.3269154701252
7.800000000000001;813.6122481300054;744.5186162041883
7.9;845.3079308606215;759.096755866758
8.0;877.8162794436913;773.0379096551062
8.1;911.1475807887397;786.3256476030308
8.200000000000001;945.3121218052918;798.9715190904359
8.3;980.3201894028713;810.9940683337519
8.4;1000.0;822.411839549409
8.5;1000.0;833.2433769538377
8.6;1000.0;843.507224763469
8.700000000000001;1000.0;853.221927194733
8.8;1000.0;862.4060284640598
8.9;1000.0;871.0780727878802
9.0;1000.0;879.2566043826247
9.1;1000.0;886.9604917510229
9.200000000000001;1000.0;894.2099005410017
9.3;1000.0;901.0253206867866
9.4;1000.0;907.4272421226033
9.5;1000.0;913.4361547826776
9.600000000000001;1000.0;919.072548601236
9.700000000000001;1000.0;924.3569135125034
9.8;1000.0;929.3097394507062
9.9;1000.0;933.9515163500699
10.0;1000.0;938.3027341448206
10.100000000000001;1000.0;942.3826321407496
10.200000000000001;1000.0;946.2054471299085
10.3;1000.0;949.7841652759151
10.4;1000.0;953.1317727423874
10.5;1000.0;956.2612556929419
10.600000000000001;1000.0;959.1856002911969
10.700000000000001;1000.0;961.9177927007695
10.8;1000.0;964.4708190852774
10.9;1000.0;966.8576656083378
11.0;1000.0;969.0913184335687
11.100000000000001;1000.0;971.1837479229109
11.200000000000001;1000.0;973.1428612315983
11.3;1000.0;974.9755497131891
11.4;1000.0;976.6887047212408
11.5;1000.0;978.2892176093111
11.600000000000001;1000.0;979.783979730958
11.700000000000001;1000.0;981.1798824397391
11.8;1000.0;982.4838170892122
11.9;1000.0;983.7026750329347
12.0;1000.0;984.843347624465
12.100000000000001;1000.0;985.9121548357674
12.200000000000001;1000.0;986.9131311124337
12.3;1000.0;987.8497395184636
12.4;1000.0;988.7254431178558
12.5;1000.0;989.543704974609
12.600000000000001;1000.0;990.3079881527228
12.700000000000001;1000.0;991.0217557161959
12.8;1000.0;991.6884707290274
12.9;1000.0;992.311596255216
13.0;1000.0;992.8945953587615
13.100000000000001;1000.0;993.4406390181539
13.200000000000001;1000.0;993.9517298698499
13.3;1000.0;994.4295784647986
13.4;1000.0;994.8758953539478
13.5;1000.0;995.2923910882458
13.600000000000001;1000.0;995.6807762186415
13.700000000000001;1000.0;996.0427612960831
13.8;1000.0;996.3800568715188
13.9;1000.0;996.6943734958971
14.0;1000.0;996.9874217201667
14.100000000000001;1000.0;997.2607751253707
14.200000000000001;1000.0;997.5154594129319
14.3;1000.0;997.7523633143686
14.4;1000.0;997.9723755611985
14.5;1000.0;998.1763848849394
14.600000000000001;1000.0;998.3652800171095
14.700000000000001;1000.0;998.5399496892267
14.8;1000.0;998.7012826328086
14.9;1000.0;998.8501675793733
15.0;1000.0;998.987493260439
15.100000000000001;1000.0;999.1140578290756
15.200000000000001;1000.0;999.2302971245621
